AOD,PM2.5
0.136571426,50.33333333
0.455480011,100.6666667
0.139320007,22
1.250083374,155.3333333
0.174679993,34.33333333
0.113839996,17.66666667
0.123480003,17.66666667
0.309160004,92
0.437,185.6666667
0.455799988,161.3333333
0.124080002,8.333333333
0.313041656,87
0.655599976,142.6666667
0.194919998,11.66666667
0.198375,18
0.232759995,18.33333333
0.338920013,72.7
0.145279999,7.066666667
0.165399994,9.633333333
0.168479996,15.7
0.543159973,68.96666667
0.395440002,42.2
0.151119995,11.36666667
0.264720001,52.6
0.292040009,34.83333333
0.114440002,4.933333333
0.0895,8.833333333
0.204479996,119.6333333
0.327399994,64.33333333
0.090839996,10.66666667
0.106080002,17.1
0.203759995,33.9
0.382160004,157.3333333
0.113400002,23.33333333
0.147360001,24
0.09932,14.33333333
0.67352002,161.3333333
0.160960007,10.66666667
1.251800049,77.66666667
0.192880005,19
0.248199997,65.23333333
0.112040001,7.8
0.08668,5.2
0.136520004,10.56666667
0.372440002,46.53333333
0.087599998,8.233333333
0.195199997,35.73333333
0.214839996,42.13333333
0.143600006,10.7
0.147919998,53.33333333
0.250360001,86.06666667
0.085559998,10.9
0.165160004,29.83333333
0.399519989,97.33333333
0.141839996,16.33333333
1.597119995,159
0.172679993,30
0.101800003,10
0.12468,8
0.327119995,75.33333333
0.58025,85.66666667
0.459160004,149.6666667
0.145360001,10
0.326200012,93
0.590200012,136.6666667
0.839880005,50.33333333
0.199679993,13
0.244279999,16.66666667
0.217919998,15.66666667
0.251083328,90.46666667
0.193199997,76.1
0.332559998,58.46666667
0.09332,12.06666667
0.107959999,11.8
0.179,37.83333333
0.370047607,84
0.171479996,44.33333333
0.114199997,8.666666667
0.276839996,65
1.115640015,221
0.159639999,10.33333333
0.346200012,65.66666667
0.882840027,133.3333333
0.176800003,8
2.943199951,217.6666667
1.828333374,84.66666667
0.237055557,27.66666667
0.078279999,4.266666667
0.119599998,4.2
0.236679993,6.933333333
0.213520004,14.66666667
0.359434784,206.9666667
0.11832,12.66666667
0.284040009,63.5
0.171919998,23.23333333
0.118360001,8.266666667
0.246759995,86.6
0.135039993,31.2
0.202919998,43.13333333
0.103720001,6.233333333
0.099080002,8.5
0.758719971,143.3
0.243919998,55.06666667
0.353559998,101.6666667
0.133839996,17.66666667
1.739319946,160.6666667
0.167839996,42.33333333
0.142642853,18
0.056,10
0.113760002,13.33333333
0.291720001,79
0.472279999,86
0.162679993,9.666666667
0.326200012,99.33333333
0.696960022,129.3333333
0.63621051,56.66666667
0.171360001,17
0.217375,21
1.75606665,206.6666667
1.36880957,85
0.200479996,24
0.217454544,60.66666667
0.132080002,12.13333333
0.112559998,10.56666667
0.171240005,25.23333333
0.455359985,48.6
0.388880005,57.26666667
0.101160004,13.5
0.239600006,48.36666667
0.219160004,54.03333333
0.133679993,8.2
0.258040009,115.1333333
0.141958328,14.36666667
0.27523999,80.43333333
0.095559998,12.7
0.088199997,12.6
0.177759995,54.93333333
0.113400002,61.66666667
0.073080002,12.66666667
2.922679932,349
0.046720001,18.03333333
0.086760002,29.56666667
0.105959999,45.1
0.059650002,27.06666667
0.396920013,116
0.109519997,22
0.146399994,30.33333333
0.099440002,7.333333333
0.670599976,139.6666667
0.231839996,18.66666667
0.370040009,72.83333333
0.096360001,9.266666667
0.11568,7.966666667
0.373600006,50.16666667
0.230880005,43.46666667
0.161520004,46.96666667
0.280920013,76.93333333
0.094639999,11.8
0.204039993,26.93333333
0.351480011,95.66666667
0.124800003,15.66666667
0.154240005,18
0.053080002,13.66666667
0.244411758,63.66666667
0.642875,284.6666667
0.130919998,8.666666667
0.63523999,158.6666667
0.161720001,13.33333333
1.71023999,82.33333333
0.173199997,15.66666667
0.256440002,61.86666667
0.098199997,8.8
0.112239998,6.666666667
0.148839996,19.26666667
0.481700012,55.9
0.383359985,52.66666667
0.084080002,12.36666667
0.200720001,37.03333333
0.233839996,35.86666667
0.101839996,11.2
0.225199997,80.3
0.166279999,64.93333333
0.287880005,68.26666667
0.079239998,15.4
0.146440002,35.4
0.337519989,105.6666667
0.130600006,17.33333333
1.462478271,149
0.159199997,42.66666667
0.052400002,10.33333333
0.111879997,11.66666667
0.268720001,86.33333333
0.494279999,108
0.151479996,7.666666667
0.311,105.3333333
0.649080017,131.6666667
0.671818176,56
0.167679993,17.33333333
0.233307693,15
1.78152002,82.66666667
0.163,15
0.218916672,49.3
0.097666664,5.933333333
0.11,4.866666667
0.11768,6.266666667
0.162720001,15.93333333
0.484519989,44.8
0.386480011,37.5
0.084160004,7.733333333
0.206919998,35.2
0.228160004,32.3
0.119440002,3.333333333
0.253960007,66.13333333
0.141279999,44.6
0.282359985,53.66666667
0.087040001,8.733333333
0.150839996,28.53333333
0.179333328,127
0.05248,22.33333333
0.059360001,17.33333333
0.049759998,8
0.081519997,21.33333333
0.064360001,7.333333333
0.038759998,5.8
0.069440002,6.933333333
0.114720001,29.1
0.060299999,9.6
0.101181816,22.9
0.368428558,96.33333333
0.091040001,22.66666667
0.110599998,21.33333333
0.082,10
0.202639999,28.33333333
0.149,10.66666667
0.135,41.93333333
0.144039993,16.66666667
0.32523999,55.8
0.202,46.56666667
0.100519997,10.3
0.186559998,25.16666667
0.36523999,117
0.123760002,17.33333333
0.160399994,50
0.053599998,15.66666667
0.111599998,10.66666667
0.284,77.66666667
0.476041656,73.66666667
0.163839996,10.33333333
0.309320007,85
0.699799988,142.3333333
0.167199997,14
1.003888916,201.3333333
1.802880005,82.66666667
0.175199997,16.33333333
0.088440002,9.9
0.191199997,44.43333333
0.12,8.933333333
0.162240005,25.5
0.430899994,42.26666667
0.381799988,54.26666667
0.085199997,12.13333333
0.192320007,28.86666667
0.217399994,51.83333333
0.118720001,8.733333333
